filename	onset	offset	event_label
10.wav	0.287159444	1.057712465	Alarm_bell_ringing
10.wav	1.717124231	1.967124231	Alarm_bell_ringing
10.wav	5.049573322	6.013631651	Alarm_bell_ringing
10.wav	7.240901349	8.492352349	Speech
1000.wav	4.352958498	4.664092285	Alarm_bell_ringing
1000.wav	7.452846726	8.065499726	Speech
1003.wav	1.738997485	1.988997485	Alarm_bell_ringing
1003.wav	3.318859104	7.202827104	Alarm_bell_ringing
1003.wav	9.122064513	9.454762513	Alarm_bell_ringing
1003.wav	5.423864115	5.836675906	Speech
1006.wav	8.712103061	9.231196031	Alarm_bell_ringing
1008.wav	2.713651082	4.975351762	Alarm_bell_ringing
1008.wav	6.373104083	6.705802083	Alarm_bell_ringing
1009.wav	2.267498091	2.584777002	Alarm_bell_ringing
1009.wav	3.650453062	6.859455062	Alarm_bell_ringing
1009.wav	2.71395594	3.32660894	Speech
1009.wav	3.813163386	4.454138386	Speech
1009.wav	7.443294109	8.822523109	Speech
1009.wav	9.74006081	10	Dog
1011.wav	2.972909983	3.293045983	Alarm_bell_ringing
1011.wav	4.590826859	7.406365727	Alarm_bell_ringing
1011.wav	7.29416334	8.32309734	Speech
1011.wav	8.421706485	8.896717485	Cat
1012.wav	0.459416309	0.777352817	Alarm_bell_ringing
1012.wav	5.715920234	6.036215018	Alarm_bell_ringing
1012.wav	8.085059342	8.389345056	Alarm_bell_ringing
1012.wav	1.516745326	2.725873014	Dog
1012.wav	1.596204025	2.876861621	Speech
1012.wav	7.224659884	8.380237884	Speech
1012.wav	9.281358776	9.531358776	Speech
1014.wav	2.328681406	2.70772247	Alarm_bell_ringing
1014.wav	7.883934995	10	Alarm_bell_ringing
1018.wav	1.228279525	1.600456396	Dog
1018.wav	1.803750756	4.345065756	Alarm_bell_ringing
1018.wav	4.773518691	8.901818695	Alarm_bell_ringing
1023.wav	2.994529415	7.000719415	Alarm_bell_ringing
1023.wav	7.960918264	8.320532777	Alarm_bell_ringing
1024.wav	1.73156017	2.216254047	Alarm_bell_ringing
1024.wav	3.550182213	3.882880213	Alarm_bell_ringing
1024.wav	5.153008378	5.403008378	Alarm_bell_ringing
1024.wav	5.754383225	6.326537225	Alarm_bell_ringing
1024.wav	7.913320357	8.241733056	Alarm_bell_ringing
1024.wav	9.696952695	10	Alarm_bell_ringing
1024.wav	4.906311834	5.278488705	Dog
1024.wav	6.251227617	6.501227617	Speech
1026.wav	2.678603022	3.185133634	Speech
1026.wav	4.076306922	5.967145922	Speech
1026.wav	9.324047775	10	Speech
1026.wav	6.973067807	7.289076807	Alarm_bell_ringing
1026.wav	9.071026623	9.512492325	Alarm_bell_ringing
1027.wav	3.332285465	5.095936258	Alarm_bell_ringing
1027.wav	8.278082931	9.708490931	Speech
1028.wav	0.147966525	0.46826131	Alarm_bell_ringing
1028.wav	0.83782276	3.02813976	Alarm_bell_ringing
1028.wav	3.249377762	3.499377762	Alarm_bell_ringing
1028.wav	7.55452161	8.078363145	Alarm_bell_ringing
1028.wav	0.256315086	0.985884086	Speech
1028.wav	3.127390404	4.377363221	Speech
1029.wav	1.318251689	2.244510193	Dog
1029.wav	1.334133187	1.638418902	Alarm_bell_ringing
1029.wav	4.287397851	4.607692635	Alarm_bell_ringing
1029.wav	5.808225536	6.119359323	Alarm_bell_ringing
1029.wav	6.282252462	6.593386248	Alarm_bell_ringing
1029.wav	7.68564314	8.336005952	Speech
1029.wav	9.634461952	10	Speech
1031.wav	8.597077446	9.089367446	Alarm_bell_ringing
1032.wav	1.637490609	5.285427117	Alarm_bell_ringing
1032.wav	8.635169136	8.955781136	Alarm_bell_ringing
1032.wav	8.067486889	8.993745392	Dog
1034.wav	4.552767822	4.873130634	Alarm_bell_ringing
1037.wav	5.779602935	6.029602935	Alarm_bell_ringing
1037.wav	6.268050618	7.24857216	Speech
1038.wav	0.067486212	2.501522212	Alarm_bell_ringing
1038.wav	4.328069266	6.772264266	Alarm_bell_ringing
